iter	Passed	Remaining
436	1781	2294
437	1785	2290
438	1789	2287
439	1793	2282
440	1797	2278
441	1802	2275
442	1807	2272
443	1812	2269
444	1816	2265
445	1820	2261
446	1824	2257
447	1828	2252
448	1831	2247
449	1835	2243
450	1839	2238
451	1842	2234
452	1847	2230
453	1851	2226
454	1854	2221
455	1858	2217
456	1862	2213
457	1866	2208
458	1870	2204
459	1874	2200
460	1878	2196
461	1882	2192
462	1886	2187
463	1890	2183
464	1893	2178
465	1897	2174
466	1901	2170
467	1904	2165
468	1908	2160
469	1911	2156
470	1915	2151
471	1919	2147
472	1923	2143
473	1928	2139
474	1932	2136
475	1936	2131
476	1940	2127
477	1944	2123
478	1948	2118
479	1951	2114
480	1955	2109
481	1959	2105
482	1962	2101
483	1966	2096
484	1970	2092
485	1974	2088
486	1978	2083
487	1981	2079
488	1985	2075
489	1989	2070
490	1993	2066
491	1996	2061
492	2001	2057
493	2004	2053
494	2008	2049
495	2012	2045
496	2016	2040
497	2020	2036
498	2024	2032
499	2027	2027
500	2031	2023
501	2035	2018
502	2039	2014
503	2042	2010
504	2047	2006
505	2051	2002
506	2055	1998
507	2059	1994
508	2062	1989
509	2066	1985
510	2070	1981
511	2074	1976
512	2078	1973
513	2082	1968
514	2086	1964
515	2089	1960
516	2093	1956
517	2097	1952
518	2101	1947
519	2105	1943
520	2109	1939
521	2114	1935
522	2118	1932
523	2123	1929
524	2129	1927
525	2135	1924
526	2140	1921
527	2146	1918
528	2152	1916
529	2157	1913
530	2163	1910
531	2169	1908
532	2176	1906
533	2182	1904
534	2187	1900
535	2191	1897
536	2195	1893
537	2200	1890
538	2205	1886
539	2210	1882
540	2213	1878
541	2217	1874
542	2221	1869
543	2225	1865
544	2230	1862
545	2235	1858
546	2240	1855
547	2245	1852
548	2250	1848
549	2255	1845
550	2258	1840
551	2263	1837
552	2268	1833
553	2272	1829
554	2276	1825
555	2280	1820
556	2284	1816
557	2287	1811
558	2291	1807
559	2295	1803
560	2300	1799
561	2304	1796
562	2309	1792
563	2312	1787
564	2316	1783
565	2320	1779
566	2324	1775
567	2328	1771
568	2332	1767
569	2336	1762
570	2340	1758
571	2344	1754
572	2348	1750
573	2352	1746
574	2356	1741
575	2360	1737
576	2364	1733
577	2368	1729
578	2372	1725
579	2376	1721
580	2380	1716
581	2384	1712
582	2388	1708
583	2392	1704
584	2396	1699
585	2399	1695
586	2403	1690
587	2407	1686
588	2412	1683
589	2415	1678
590	2419	1674
591	2423	1670
592	2427	1665
593	2430	1661
594	2434	1657
595	2438	1652
596	2442	1648
597	2445	1644
598	2449	1639
599	2453	1635
600	2457	1631
601	2461	1627
602	2464	1622
603	2468	1618
604	2472	1614
605	2476	1610
606	2479	1605
607	2484	1601
608	2487	1597
609	2491	1593
610	2495	1588
611	2499	1584
612	2503	1580
613	2507	1576
614	2511	1572
615	2515	1568
616	2519	1563
617	2523	1559
618	2527	1555
619	2530	1551
620	2534	1546
621	2538	1542
622	2541	1538
623	2545	1533
624	2549	1529
625	2552	1525
626	2556	1521
627	2560	1516
628	2564	1512
629	2567	1508
630	2571	1503
631	2575	1499
632	2578	1495
633	2582	1490
634	2586	1486
635	2589	1482
636	2593	1477
637	2597	1473
638	2601	1469
639	2605	1465
640	2609	1461
641	2613	1457
642	2616	1452
643	2620	1448
644	2624	1444
645	2628	1440
646	2632	1436
647	2635	1431
648	2639	1427
649	2642	1423
650	2646	1418
651	2651	1415
652	2655	1411
653	2659	1407
654	2663	1402
655	2667	1398
656	2671	1394
657	2675	1390
658	2679	1386
659	2683	1382
660	2687	1378
661	2691	1373
662	2694	1369
663	2698	1365
664	2702	1361
665	2706	1357
666	2709	1352
667	2713	1348
668	2717	1344
669	2720	1340
670	2724	1335
671	2728	1331
672	2731	1327
673	2735	1323
674	2739	1318
675	2742	1314
676	2746	1310
677	2749	1305
678	2753	1301
679	2757	1297
680	2760	1293
681	2764	1288
682	2768	1284
683	2771	1280
684	2775	1276
685	2779	1272
686	2782	1267
687	2786	1263
688	2790	1259
689	2794	1255
690	2798	1251
691	2802	1247
692	2805	1242
693	2809	1238
694	2813	1234
695	2817	1230
696	2821	1226
697	2825	1222
698	2829	1218
699	2833	1214
700	2837	1210
701	2841	1206
702	2845	1202
703	2849	1198
704	2853	1194
705	2857	1190
706	2861	1185
707	2865	1181
708	2869	1177
709	2872	1173
710	2876	1169
711	2880	1165
712	2884	1161
713	2888	1157
714	2893	1153
715	2896	1149
716	2901	1145
717	2904	1140
718	2908	1136
719	2912	1132
720	2915	1128
721	2920	1124
722	2923	1120
723	2927	1116
724	2931	1111
725	2935	1107
726	2939	1103
727	2942	1099
728	2946	1095
729	2950	1091
730	2954	1087
731	2958	1083
732	2961	1078
733	2965	1074
734	2969	1070
735	2973	1066
736	2977	1062
737	2981	1058
738	2985	1054
739	2988	1050
740	2992	1045
741	2996	1041
742	3000	1037
743	3004	1033
744	3008	1029
745	3012	1025
746	3016	1021
747	3020	1017
748	3024	1013
749	3028	1009
750	3032	1005
751	3036	1001
752	3039	997
753	3043	993
754	3047	988
755	3051	984
756	3055	980
757	3058	976
758	3062	972
759	3066	968
760	3071	964
761	3074	960
762	3078	956
763	3082	952
764	3086	948
765	3090	944
766	3095	940
767	3100	936
768	3105	932
769	3109	928
770	3114	925
771	3118	920
772	3122	916
773	3126	912
774	3130	908
775	3134	904
776	3138	900
777	3142	896
778	3145	892
779	3149	888
780	3152	884
781	3156	879
782	3160	875
783	3163	871
784	3168	867
785	3171	863
786	3175	859
787	3178	855
788	3183	851
789	3187	847
790	3191	843
791	3194	839
792	3198	834
793	3202	830
794	3206	826
795	3211	822
796	3214	818
797	3218	814
798	3221	810
799	3225	806
800	3230	802
801	3233	798
802	3237	794
803	3241	790
804	3245	786
805	3248	781
806	3252	777
807	3256	773
808	3259	769
809	3263	765
810	3267	761
811	3271	757
812	3274	753
813	3278	749
814	3281	744
815	3285	740
816	3289	736
817	3293	732
818	3297	728
819	3301	724
820	3305	720
821	3308	716
822	3312	712
823	3316	708
824	3320	704
825	3323	700
826	3327	696
827	3330	691
828	3334	687
829	3338	683
830	3342	679
831	3346	675
832	3349	671
833	3353	667
834	3357	663
835	3361	659
836	3364	655
837	3368	651
838	3372	647
839	3376	643
840	3379	638
841	3383	634
842	3387	630
843	3390	626
844	3394	622
845	3398	618
846	3402	614
847	3406	610
848	3410	606
849	3413	602
850	3417	598
851	3421	594
852	3425	590
853	3428	586
854	3432	582
855	3436	578
856	3439	573
857	3443	569
858	3447	565
859	3451	561
860	3455	557
861	3459	553
862	3463	549
863	3467	545
864	3470	541
865	3474	537
866	3478	533
867	3481	529
868	3485	525
869	3489	521
870	3492	517
871	3497	513
872	3500	509
873	3504	505
874	3508	501
875	3511	497
876	3515	493
877	3519	488
878	3522	484
879	3527	481
880	3531	476
881	3535	472
882	3538	468
883	3542	464
884	3546	460
885	3550	456
886	3554	452
887	3558	448
888	3562	444
889	3566	440
890	3569	436
891	3573	432
892	3577	428
893	3581	424
894	3585	420
895	3588	416
896	3592	412
897	3596	408
898	3600	404
899	3603	400
900	3607	396
901	3611	392
902	3616	388
903	3620	384
904	3624	380
905	3628	376
906	3632	372
907	3635	368
908	3639	364
909	3643	360
910	3647	356
911	3650	352
912	3654	348
913	3658	344
914	3662	340
915	3666	336
916	3669	332
917	3673	328
918	3677	324
919	3681	320
920	3685	316
921	3688	312
922	3692	308
923	3695	303
924	3699	299
925	3703	295
926	3706	291
927	3710	287
928	3714	283
929	3718	279
930	3722	275
931	3725	271
932	3729	267
933	3733	263
934	3736	259
935	3740	255
936	3744	251
937	3748	247
938	3752	243
939	3756	239
940	3759	235
941	3763	231
942	3768	227
943	3771	223
944	3775	219
945	3779	215
946	3782	211
947	3786	207
948	3790	203
949	3793	199
950	3797	195
951	3801	191
952	3805	187
953	3809	183
954	3813	179
955	3816	175
956	3820	171
957	3823	167
958	3827	163
959	3831	159
960	3835	155
961	3838	151
962	3842	147
963	3846	143
964	3850	139
965	3854	135
966	3858	131
967	3863	127
968	3867	123
969	3871	119
970	3875	115
971	3879	111
972	3883	107
973	3887	103
974	3891	99
975	3895	95
976	3899	91
977	3903	87
978	3907	83
979	3911	79
980	3915	75
981	3918	71
982	3923	67
983	3927	63
984	3932	59
985	3937	55
986	3940	51
987	3944	47
988	3948	43
989	3952	39
990	3956	35
991	3959	31
992	3963	27
993	3967	23
994	3971	19
995	3974	15
996	3978	11
997	3982	7
998	3986	3
999	3990	0
