iter	RMSE
484	148311.0067
485	148206.1966
486	148140.9316
487	148086.6316
488	148017.0219
489	147971.8956
490	147901.1316
491	147837.8225
492	147724.8261
493	147636.7881
494	147557.552
495	147465.5126
496	147412.8062
497	147308.0512
498	147217.4979
499	147137.6603
500	147082.5336
501	147025.6775
502	146917.0649
503	146833.7804
504	146746.3366
505	146666.1023
506	146626.0436
507	146524.2556
508	146481.683
509	146395.7994
510	146026.0089
511	145835.4052
512	145530.3812
513	145410.41
514	145278.7462
515	145214.3575
516	145131.6528
517	145087.2604
518	145017.4464
519	144942.9174
520	144881.9252
521	144701.3427
522	144656.2834
523	144577.7332
524	144511.4317
525	144417.8938
526	144341.2608
527	144301.2475
528	144242.5463
529	144170.6319
530	144133.6999
531	144015.5009
532	143676.4099
533	143588.9413
534	143523.663
535	143453.1765
536	143373.728
537	143307.4963
538	143219.2681
539	143142.7203
540	143072.5062
541	142973.2192
542	142899.917
543	142860.9507
544	142808.5512
545	142765.388
546	142665.6575
547	142601.2336
548	142565.508
549	142469.5567
550	142306.39
551	142243.4856
552	142206.5872
553	142140.3819
554	142097.8272
555	141984.4983
556	141857.1674
557	141790.975
558	141583.4521
559	141284.5292
560	141223.8852
561	141118.1978
562	141039.2586
563	140982.3587
564	140917.6005
565	140886.8415
566	140831.5357
567	140714.006
568	140679.7938
569	140557.7549
570	140497.845
571	140454.1771
572	140394.0111
573	140329.5805
574	140273.4009
575	140217.6187
576	140169.238
577	140119.8263
578	140023.4639
579	139944.6074
580	139833.9744
581	139748.0148
582	139719.8223
583	139652.8473
584	139571.0287
585	139539.7543
586	139483.4962
587	139420.7932
588	139223.1478
589	139178.7733
590	139117.3913
591	139058.8131
592	138983.9499
593	138922.3848
594	138836.5148
595	138773.6897
596	138694.4739
597	138377.9312
598	138320.0754
599	138268.1252
600	138141.4652
601	138059.3703
602	137982.6062
603	137929.9083
604	137672.9752
605	137618.7355
606	137526.4497
607	137208.3373
608	137183.1687
609	137151.2673
610	137037.807
611	137001.9332
612	136951.8433
613	136842.9234
614	136759.1902
615	136687.8142
616	136649.4406
617	136608.8105
618	136534.2824
619	136414.7778
620	136312.5005
621	136220.4604
622	136127.4168
623	136041.6767
624	135976.5725
625	135920.041
626	135776.9622
627	135722.9902
628	135634.9804
629	135587.6365
630	135561.7254
631	135519.9691
632	135377.6269
633	135278.9671
634	135231.5492
635	135186.8602
636	135102.3255
637	135021.2319
638	134896.5763
639	134784.1809
640	134710.2664
641	134650.843
642	134579.9556
643	134514.5263
644	134489.2119
645	134415.7503
646	134375.1934
647	134260.1423
648	134218.796
649	134133.7582
650	134053.9548
651	133990.4925
652	133950.3061
653	133908.995
654	133703.4598
655	133605.3084
656	133536.6788
657	133480.5212
658	133456.0079
659	133395.1436
660	133327.4464
661	133232.3955
662	133105.7206
663	133068.0657
664	132977.7217
665	132899.3517
666	132859.1846
667	132805.5156
668	132715.0633
669	132599.5094
670	132561.5003
671	132457.3536
672	132385.6474
673	132358.9475
674	132284.7039
675	132236.2661
676	132181.272
677	132146.642
678	132106.7629
679	132009.744
680	131935.6902
681	131854.4001
682	131789.852
683	131734.7122
684	131694.7796
685	131647.7299
686	131568.3676
687	131530.265
688	131414.7215
689	131307.401
690	131284.1076
691	131211.4638
692	131159.1515
693	131109.7602
694	131056.8854
695	130989.0112
696	130941.5747
697	130862.908
698	130781.6463
699	130689.9864
700	130619.5317
701	130547.0185
702	130442.0206
703	130396.2666
704	130351.0484
705	130264.6731
706	130193.5147
707	130141.433
708	130103.4113
709	130056.985
710	129975.7545
711	129913.4459
712	129831.8096
713	129811.3085
714	129746.8679
715	129710.9006
716	129631.4191
717	129556.6572
718	129532.9222
719	129487.6222
720	129427.5943
721	129398.6929
722	129358.4399
723	129314.8087
724	129250.0723
725	129191.7457
726	129151.3134
727	129126.676
728	129043.718
729	128987.8231
730	128913.2031
731	128862.6071
732	128831.5355
733	128777.1273
734	128725.8506
735	128668.9102
736	128588.4031
737	128518.7819
738	128461.4082
739	128370.8205
740	128278.2919
741	128246.8738
742	128151.4108
743	128076.5411
744	128001.8031
745	127971.3926
746	127940.6737
747	127875.4446
748	127819.6981
749	127767.8692
750	127698.0979
751	127655.194
752	127621.1333
753	127589.5778
754	127505.0361
755	127436.9229
756	127398.007
757	127337.437
758	127304.6737
759	127225.9307
760	127156.9304
761	127096.276
762	127059.1302
763	127004.9279
764	126981.4673
765	126927.7391
766	126896.5206
767	126810.5383
768	126784.1437
769	126753.045
770	126695.224
771	126625.2451
772	126550.3484
773	126489.1174
774	126428.3692
775	126336.8379
776	126286.128
777	126252.2988
778	126189.2749
779	126151.8656
780	126130.9893
781	126081.6499
782	126063.0425
783	126032.6254
784	125989.7585
785	125960.3263
786	125923.8467
787	125910.716
788	125838.7421
789	125776.8707
790	125671.4156
791	125640.8073
792	125580.8487
793	125533.6312
794	125369.5455
795	125330.5873
796	125289.9368
797	125252.8708
798	125219.783
799	125109.2519
800	125085.3569
801	125022.1097
802	124987.7246
803	124958.425
804	124835.463
805	124807.7214
806	124770.3668
807	124705.7885
808	124665.4917
809	124549.0306
810	124503.6184
811	124455.4543
812	124424.0655
813	124392.2383
814	124338.6492
815	124288.8755
816	124266.1333
817	124198.2785
818	124141.9035
819	124080.3083
820	124004.7955
821	123974.1184
822	123855.7984
823	123795.1133
824	123764.7522
825	123717.0007
826	123701.2281
827	123673.2233
828	123629.4129
829	123593.9294
830	123538.5513
831	123499.0827
832	123459.6932
833	123421.8568
834	123320.7777
835	123288.6299
836	123240.1079
837	123172.5358
838	123137.6022
839	123108.1612
840	123061.8707
841	122971.7784
842	122950.6215
843	122924.2337
844	122906.1085
845	122854.9608
846	122786.0464
847	122753.7943
848	122659.1062
849	122607.6268
850	122591.2086
851	122539.6856
852	122481.1898
853	122423.909
854	122375.4547
855	122330.5509
856	122279.7117
857	122206.5639
858	122159.8517
859	122016.2297
860	121990.0743
861	121899.797
862	121829.6526
863	121608.1075
864	121571.216
865	121507.6013
866	121464.7307
867	121399.5915
868	121342.7259
869	121246.388
870	121044.4763
871	120951.0595
872	120864.8758
873	120804.8003
874	120748.8679
875	120722.6483
876	120699.3179
877	120675.8434
878	120635.2765
879	120574.6999
880	120487.4298
881	120407.7674
882	120365.7775
883	120345.1353
884	120162.8044
885	120135.7486
886	120077.0955
887	120056.3755
888	120008.961
889	119960.7292
890	119918.0346
891	119886.5949
892	119835.4587
893	119809.1562
894	119673.7323
895	119650.4191
896	119600.4675
897	119539.0832
898	119495.0655
899	119480.0578
900	119329.5621
901	119278.1273
902	119204.6165
903	119171.8524
904	119137.8635
905	119069.1971
906	119028.6346
907	119013.1577
908	118984.9073
909	118931.4337
910	118861.4906
911	118836.8964
912	118792.6186
913	118771.7347
914	118718.9009
915	118706.8704
916	118640.2139
917	118593.3374
918	118575.4592
919	118541.3411
920	118475.2444
921	118442.1543
922	118387.594
923	118332.9446
924	118312.1817
925	118278.9715
926	118251.2309
927	118217.4486
928	118181.5184
929	118141.7626
930	118110.2957
931	118093.3552
932	118035.4549
933	117981.2462
934	117960.6597
935	117893.2165
936	117866.7729
937	117827.972
938	117781.4584
939	117761.4047
940	117744.8733
941	117679.02
942	117658.5127
943	117587.8431
944	117544.7769
945	117504.2898
946	117466.1987
947	117454.2474
948	117417.3201
949	117406.9979
950	117355.5783
951	117331.635
952	117263.1435
953	117238.4228
954	117133.2433
955	117091.0222
956	117069.2271
957	117043.3071
958	117008.6936
959	116977.2733
960	116925.6629
961	116859.6379
962	116836.6924
963	116813.221
964	116767.5963
965	116715.8666
966	116663.0539
967	116620.2689
968	116573.5802
969	116525.7379
970	116504.2578
971	116481.0484
972	116423.4907
973	116386.2726
974	116350.3388
975	116317.7754
976	116281.4726
977	116248.3638
978	116216.5426
979	116123.1401
980	116091.1473
981	116042.4467
982	116015.1147
983	115986.389
984	115938.0864
985	115894.1327
986	115861.8382
987	115793.861
988	115760.2369
989	115718.8172
990	115709.3932
991	115667.0996
992	115630.9566
993	115595.1486
994	115568.8006
995	115506.3968
996	115469.063
997	115418.9948
998	115380.5332
999	115337.472
